pid,zipcode,own_occ,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,population,pop_density,median_income,city_state,av_total
2930,2131,Y,5000,1935,2015,2040,2,R,CL,G,W,7,3,2,1,M,1,M,W,N,2,G,G,G,N,A,2131,29826,11505,66735,"Roslindale, MA",669500
2940,2132,N,4429,1920,2003,1632,2,R,CL,G,W,7,3,1,0,M,1,S,W,N,1,G,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",512475.8806
2950,2136,Y,6500,1950,0,1260,1,R,CP,G,W,5,2,1,0,S,1,S,E,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",317400
2960,2132,Y,5469,1925,0,950,1,R,BW,G,W,6,2,1,0,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",383100
2970,2132,Y,3662,1940,0,1400,2,R,CL,H,A,7,3,1,0,S,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",371800
2980,2131,Y,4403,1960,0,1274,2,R,CL,G,M,7,3,2,1,S,1,S,W,N,1,G,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",450800
2990,2132,N,5380,2016,0,2824,2,R,CL,G,C,8,4,2,1,M,1,L,F,C,1,G,G,E,N,A,2132,36314,13251,75446,"Cambridge, MA",865200
3000,2124,N,4141,1880,0,1002,1.5,R,CV,G,M,7,3,1,0,S,1,S,F,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",266359.243
3010,2131,Y,6827,1950,2013,1452,1,R,RN,G,M,5,3,2,0,S,1,N,W,C,0,G,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",334000
3020,2136,Y,6014,1960,0,1240,1,R,RN,H,M,6,3,1,1,S,1,S,W,C,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",357200
3030,2136,Y,4585,1880,0,1488,2,R,CL,G,M,7,4,1,0,S,1,S,F,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",314391.1962
3040,2132,Y,8720,1993,0,1836,2,R,CL,H,F,6,3,2,1,M,1,M,F,C,1,G,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",634307.3752
3050,2131,Y,5140,1961,0,1075,1,R,CP,G,W,6,2,1,1,S,1,S,W,N,1,A,A,G,N,G,2131,29826,11505,66735,"Roslindale, MA",381482.6379
3060,2136,Y,5000,1900,1979,1586,2,R,CL,G,M,6,3,1,0,N,1,N,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",321900
3070,2132,Y,4816,1914,2013,1634,2,R,CL,G,W,7,4,1,1,M,1,M,W,N,1,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",593000
3080,2131,Y,8000,1905,0,2182,2,R,CL,G,M,9,5,1,1,S,1,M,W,N,0,G,A,A,N,G,2131,29826,11505,66735,"Roslindale, MA",586600
3090,2124,Y,5060,1860,0,2634,2,R,CL,M,M,10,5,1,1,S,1,S,F,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",484300
3100,2124,Y,1480,1870,0,1618,2,R,CL,G,M,8,4,1,0,S,1,S,W,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",250027.4157
3110,2136,Y,6148,1950,0,1224,1.5,R,CP,G,M,5,3,1,1,S,1,S,F,C,0,G,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",372400
3120,2136,Y,10920,1869,0,1317,1.5,R,CL,G,F,10,4,1,1,N,1,N,F,N,0,A,F,F,N,A,2136,28488,6207,58890,"Hyde Park, MA",297200
3130,2131,Y,6399,1880,0,2370,2,R,CL,H,F,8,4,1,1,M,1,M,F,N,1,G,G,G,N,A,2131,29826,11505,66735,"Roslindale, MA",654600
3140,2132,Y,6531,1955,2016,1716,1.5,R,CP,G,M,7,4,2,1,N,1,M,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",479332.42
3150,2130,Y,6244,1928,0,2070,2,R,CL,L,F,8,4,1,1,S,1,S,W,N,1,A,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",695400
3160,2131,Y,4151,1914,0,1476,2,R,CL,G,W,8,4,1,0,M,1,M,W,N,0,G,G,G,N,A,2131,29826,11505,66735,"Roslindale, MA",444200
3170,2132,Y,4160,1930,0,1685,1.5,R,BW,G,M,7,3,2,0,S,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",407020.927
3180,2132,Y,3603,1930,2003,1612,2,R,CL,G,M,7,3,2,0,M,1,M,F,C,0,A,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",508589.9723
3190,2132,Y,6000,1930,1990,1564,2,R,CL,H,M,9,3,3,0,M,1,M,F,N,1,G,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",613100
3200,2124,Y,4123,1942,2012,1750,2,R,CL,G,M,7,3,1,1,M,1,M,F,N,1,A,A,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",435100
3210,2131,Y,5996,1967,0,962,1,R,RN,G,W,5,3,1,0,S,1,S,W,N,1,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",321100
3220,2132,Y,6030,1930,0,1704,2,R,CL,G,M,7,3,1,1,M,1,M,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",531600
3230,2130,Y,8794,1910,2001,4211,2.5,R,CL,G,A,13,8,3,0,S,1,M,F,N,2,A,A,A,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",729500
3240,2130,Y,4912,1895,0,2543,2,R,CL,H,W,11,5,2,0,S,1,N,F,N,1,A,A,A,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",825789.3201
3250,2131,Y,15256,1935,0,3013,2.5,R,CL,G,M,7,4,1,1,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",616500
3260,2136,Y,6617,1999,NA,1620,2,R,CL,G,M,6,3,1,1,S,1,S,F,C,0,A,G,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",430585.8566
3270,2132,N,5489,1950,0,925,1,R,RN,G,M,5,3,1,0,S,1,N,F,N,0,A,A,F,N,A,2132,36314,13251,75446,"Cambridge, MA",250500
3280,2124,Y,3440,1890,1998,2003,2,R,CL,G,M,11,5,2,0,M,1,M,W,N,0,A,A,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",318800
3290,2132,Y,6400,1939,2015,1968,2,R,CL,L,M,9,4,1,1,M,1,S,W,N,1,G,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",625779.1642
3300,2132,Y,12026,1967,0,2695,2,R,CL,G,W,9,5,1,2,M,1,M,E,N,2,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",776300
3310,2136,Y,7870,1900,0,1836,2,R,CL,M,A,7,3,2,0,N,1,S,W,N,0,F,A,A,N,F,2136,28488,6207,58890,"Hyde Park, MA",323410.8138
3320,2131,Y,3730,1960,0,1226,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,0,G,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",392847.7415
3330,2136,N,6330,1950,2006,1275,1.5,R,CP,G,M,6,3,2,0,M,1,M,F,C,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",355237.4384
3340,2136,Y,5540,1900,0,2420,2,R,CL,G,M,8,4,1,1,S,1,N,F,C,1,A,A,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",469000
3350,2132,Y,6000,1985,0,1795,2,R,CL,G,M,6,3,2,0,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",498200
3360,2130,Y,7224,1960,1993,1422,1,R,RN,G,M,6,3,1,1,S,1,S,E,N,1,A,A,A,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",577364.0018
3370,2132,Y,9331,1900,0,2113,2,R,CL,G,A,10,5,2,0,S,1,N,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",523256.7018
3380,2131,Y,6084,1950,0,1272,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",430300
